RHO   : 1.225
NU    : 1.463e-05
B     : 2
U_inf : 7.9
RPM   : 140
power : 195.66057948879254
R_out : 1.42
R_in  : 0.059
N     : 50
M     : 50
dt    : 0.05
thrust: 21.99058177149203
eta   : 0.8878926784776189
optsucess:Optimization terminated successfully
îºåar[m],óÉå∑í∑chord[m],éÊïtäptheta[deg],ó¨ì¸äpphi[deg],å}äpalpha[deg],èzä¬gamma,Re,ógóÕåWêîCL,çRóÕåWêîCD,ó¨ì¸ë¨ìxV,ã«èäógóÕdL,ã«èäçRóÕdD
3.448100000000000054e-01,1.867367992674936472e-01,5.888794559276581708e+01,5.794444190815165285e+01,9.435036846141644507e-01,5.057332993376516539e-01,1.196888184826488432e+05,5.776351858645807358e-01,1.647562745617583285e-02,9.377088079424780176e+00,1.581298121664757861e-01,4.510265196311454353e-03
3.720299999999999718e-01,1.860416700984552918e-01,5.716762158292116425e+01,5.599640211732650386e+01,1.171219465594663500e+00,5.384659561868060385e-01,1.220460503660123941e+05,6.031428598674912767e-01,1.620252802971888437e-02,9.597493485786475986e+00,1.723218253731814142e-01,4.629167302676351001e-03
3.992499999999999938e-01,1.839356360965425652e-01,5.558743678434498747e+01,5.416742378049293194e+01,1.420013003852054867e+00,5.693764857575827065e-01,1.235754751622478943e+05,6.298728777376921828e-01,1.603489454303478126e-02,9.829031719958642555e+00,1.866098113218487564e-01,4.750591351049694711e-03
4.264699999999999602e-01,1.810723064011793837e-01,5.406959985720034467e+01,5.240421516068234098e+01,1.665384696518003471e+00,5.979020121249120079e-01,1.246487294269893464e+05,6.557341901706271736e-01,1.592281504898225911e-02,1.007117514412450454e+01,2.007864370351764294e-01,4.875581217479797551e-03
4.536899999999999822e-01,1.779522147052497172e-01,5.260666198374632785e+01,5.071894816352002522e+01,1.887713820226301520e+00,6.241880762323991361e-01,1.255654063439965539e+05,6.795652006053534144e-01,1.583034207927240186e-02,1.032311903426103505e+01,2.148575468643349196e-01,5.005065683389746216e-03
4.809099999999999486e-01,1.746538273293062882e-01,5.120362201624938336e+01,4.911545014877261650e+01,2.088171867476764199e+00,6.483817098113299204e-01,1.263540711750478513e+05,7.014992083714386428e-01,1.575327491726457793e-02,1.058413714464743549e+01,2.288286632212861438e-01,5.138709777084103647e-03
5.081299999999999706e-01,1.712295177164086801e-01,4.983886800439551479e+01,4.757120605936541580e+01,2.267661945030098103e+00,6.704450074447186880e-01,1.270314872261493292e+05,7.215018483245230208e-01,1.568898906436369881e-02,1.085368155504925625e+01,2.426411445947427303e-01,5.276208609793274149e-03
5.353499999999999925e-01,1.677446806840766080e-01,4.853996291889320958e+01,4.610585643074757911e+01,2.434106488145634017e+00,6.908784762547436342e-01,1.276261994264399109e+05,7.400268814537946938e-01,1.563406069074134430e-02,1.113103133878426299e+01,2.564255394707727898e-01,5.417333541811970160e-03
5.625699999999999035e-01,1.640688081765412920e-01,4.736371346674739868e+01,4.476209803498875317e+01,2.601615431758644181e+00,7.102009562162260314e-01,1.280181788003411784e+05,7.583946796669677193e-01,1.559043303008955141e-02,1.141536881180795504e+01,2.703307253221735595e-01,5.557229213371614115e-03
5.897899999999999254e-01,1.601811810616468879e-01,4.622220821515858802e+01,4.345742994793425140e+01,2.764778267224335728e+00,7.274369138006864244e-01,1.281731411020597006e+05,7.758610994581123244e-01,1.555896670828086324e-02,1.170657527866185177e+01,2.839549261069156949e-01,5.694376538578318353e-03
