RHO   : 1.225
NU    : 1.463e-05
B     : 2
U_inf : 7.9
RPM   : 140
power : 196.6358578844588
R_out : 1.41
R_in  : 0.059
N     : 200
M     : 200
dt    : 0.05
thrust: 21.99003456800724
eta   : 0.8834669065767955
optsucess:Optimization terminated successfully
îºåar[m],óÉå∑í∑chord[m],éÊïtäptheta[deg],ó¨ì¸äpphi[deg],å}äpalpha[deg],èzä¬gamma,Re,ógóÕåWêîCL,çRóÕåWêîCD,ó¨ì¸ë¨ìxV,ã«èäógóÕdL,ã«èäçRóÕdD
3.595974999999999588e-01,1.833291726617515827e-01,5.765515227207197313e+01,5.652849840388248026e+01,1.126653868189492869e+00,5.201772239734017145e-01,1.190154627088011766e+05,5.974940884534643004e-01,1.644814275397518330e-02,9.497649469254552557e+00,4.088169668107444199e-02,1.125413616686180224e-03
3.663524999999999698e-01,1.825082453281586803e-01,5.724187911678632190e+01,5.603745004796951434e+01,1.204429068816809112e+00,5.282762489984706988e-01,1.191719984689267440e+05,6.059998723311474933e-01,1.643123708439708439e-02,9.552918195369887400e+00,4.175981695003083694e-02,1.132286464463191575e-03
3.731074999999999808e-01,1.816821119620422864e-01,5.688287250330687073e+01,5.559972245647851707e+01,1.283150046828356983e+00,5.363662384647149839e-01,1.193240333421632240e+05,6.144961668554407286e-01,1.641498968063507397e-02,9.608599266836838737e+00,4.264645701687276580e-02,1.139211584394305083e-03
3.798624999999999363e-01,1.808336854256815118e-01,5.647787903564241674e+01,5.511769688772159981e+01,1.360182147920817597e+00,5.442032012400616070e-01,1.194673570619329985e+05,6.227267268818901247e-01,1.639983291573728075e-02,9.665275746063299422e+00,4.352479988127012922e-02,1.146248289868430793e-03
3.866174999999999473e-01,1.799775271687283906e-01,5.610226089487922252e+01,5.466527240250414366e+01,1.436988492375076421e+00,5.519588103957838721e-01,1.196055113065258047e+05,6.308718474506207485e-01,1.638537360445957089e-02,9.722484011984526830e+00,4.440637781850782090e-02,1.153348487362940156e-03
3.933724999999999583e-01,1.791068824163918327e-01,5.570706796774862823e+01,5.419450417282671850e+01,1.512563794921908400e+00,5.595472317560792330e-01,1.197372775666917587e+05,6.388413835199228119e-01,1.637172449612247366e-02,9.780508415797092070e+00,4.528554770429647075e-02,1.160542397215618120e-03
4.001274999999999693e-01,1.782345120883311040e-01,5.536313646908363495e+01,5.377487322024841632e+01,1.588263248835219299e+00,5.671185426372380434e-01,1.198655105455415178e+05,6.467929497672858519e-01,1.635857771319955065e-02,9.838904927751540797e+00,4.617235790354189823e-02,1.167783454099976300e-03
4.068824999999999803e-01,1.773453705135525360e-01,5.497667876224771533e+01,5.331496497365300513e+01,1.661713788594711749e+00,5.744484276536795386e-01,1.199866861514616321e+05,6.544909649734543811e-01,1.634628130069497656e-02,9.898229727184999049e+00,4.705112546229523601e-02,1.175128418086206173e-03
4.136374999999999358e-01,1.764526268322330615e-01,5.462043340777032796e+01,5.288592462944743033e+01,1.734508778322898959e+00,5.817075829686773059e-01,1.201039154523764446e+05,6.621146982071196563e-01,1.633450567090621863e-02,9.958028478311605980e+00,4.793354302167480985e-02,1.182530356801185815e-03
4.203924999999999468e-01,1.755500355168811699e-01,5.424918719389747679e+01,5.244353582228890787e+01,1.805651371608571143e+00,5.888066392956170514e-01,1.202159774056585156e+05,6.695702917712269553e-01,1.632336253126253842e-02,1.001856675372565775e+01,4.881347621245792773e-02,1.190017057834691057e-03
4.271474999999999578e-01,1.746458118506456769e-01,5.390989734412509904e+01,5.203383569074163262e+01,1.876061653383464645e+00,5.958470239387223533e-01,1.203246753764089226e+05,6.769642669725201012e-01,1.631266247922465509e-02,1.007954317428628599e+01,4.969778878709897596e-02,1.197556937640624443e-03
4.339024999999999688e-01,1.737315153138375146e-01,5.354510789811590854e+01,5.160081361600692418e+01,1.944294282108981919e+00,6.026926524033381360e-01,1.204281135556785302e+05,6.841537047192496335e-01,1.630258191593345063e-02,1.014129933844678000e+01,5.057675258021682857e-02,1.205184809047024456e-03
4.406574999999999798e-01,1.728155137385926632e-01,5.320237056778513818e+01,5.119092816368650745e+01,2.011442404098631620e+00,6.094606269363355144e-01,1.205282632386504847e+05,6.912615885063908561e-01,1.629291862873673974e-02,1.020353122838690574e+01,5.145855588235958428e-02,1.212869451570627562e-03
4.474124999999999353e-01,1.718949367611787016e-01,5.285913951929147458e+01,5.078235888259427355e+01,2.076780636697202809e+00,6.160972616597135687e-01,1.206244893644514523e+05,6.982315361800246478e-01,1.628372574193168859e-02,1.026636568041414499e+01,5.233924456852809270e-02,1.220623618286494592e-03
4.541674999999999462e-01,1.709706379448478475e-01,5.251716046452479958e+01,5.037693405788034795e+01,2.140226406644452517e+00,6.226021040834829323e-01,1.207169583987576625e+05,7.050630725246720409e-01,1.627497853223501892e-02,1.032978014589577853e+01,5.321855819530678378e-02,1.228444554674659695e-03
4.609224999999999572e-01,1.700429057816995049e-01,5.217346819446741080e+01,4.997134226651184008e+01,2.202125927955570717e+00,6.289759362190620040e-01,1.208058432735084789e+05,7.117570188268573794e-01,1.626665232220771140e-02,1.039378549176522348e+01,5.409650676837438055e-02,1.236333529801360819e-03
4.676774999999999682e-01,1.691142643842172000e-01,5.183983349033388066e+01,4.957704530299218249e+01,2.262788187341699953e+00,6.352581947034242615e-01,1.208918301197711262e+05,7.183547923571682592e-01,1.625867572229943228e-02,1.045829860119897070e+01,5.497595161704332822e-02,1.244282323130813540e-03
4.744324999999999792e-01,1.681865651063022549e-01,5.152828495581402990e+01,4.920596469413016649e+01,2.322320261683863407e+00,6.414570324642605570e-01,1.209751408888776787e+05,7.248649555093120700e-01,1.625102225839882356e-02,1.052323240019580197e+01,5.585707303623681230e-02,1.252280897706099707e-03
4.811874999999999347e-01,1.672515403580053239e-01,5.117795920790433684e+01,4.879859973778982862e+01,2.379359470114508657e+00,6.474242983639301174e-01,1.210539378583342914e+05,7.311319165232801343e-01,1.624385272393529325e-02,1.058895545641330571e+01,5.672879495143346579e-02,1.260366521515502184e-03
4.879424999999999457e-01,1.663201875432865906e-01,5.085946387451190986e+01,4.842366055631487143e+01,2.435803318197036660e+00,6.533530454215610295e-01,1.211308997092806821e+05,7.373584241561823571e-01,1.623691651202416319e-02,1.065502083014160206e+01,5.760546211574781028e-02,1.268494463978418621e-03
4.946974999999999567e-01,1.653874961190711368e-01,5.053310234440020565e+01,4.804219132489269839e+01,2.490911019507509039e+00,6.591611236213692493e-01,1.212050451109781279e+05,7.434582025565870111e-01,1.623029740261604584e-02,1.072166791071659375e+01,5.848107925711049787e-02,1.276689537495041219e-03
5.014524999999999677e-01,1.644606420699584182e-01,5.025256237650338420e+01,4.770686149550035537e+01,2.545700881003026605e+00,6.649411975646298822e-01,1.212776349137131474e+05,7.495285702374157033e-01,1.622387851661858185e-02,1.078854962777582749e+01,5.936189371204756565e-02,1.284914532071306350e-03
5.082075000000000342e-01,1.635236256791828269e-01,4.989729729984387063e+01,4.729995658068178699e+01,2.597340719162084977e+00,6.703985633798297261e-01,1.213451009737309651e+05,7.552600223593519679e-01,1.621796818854837410e-02,1.085640573264077169e+01,6.022552336002004458e-02,1.293244171643382050e-03
5.149624999999999897e-01,1.625960881184174700e-01,4.960529440111292843e+01,4.695604571376971847e+01,2.649248687343208619e+00,6.759066544374116026e-01,1.214121637289887003e+05,7.610447473070305335e-01,1.621214717193203078e-02,1.092437078843784093e+01,6.110047641035842164e-02,1.301592211686684744e-03
5.217175000000000562e-01,1.616663910643244273e-01,4.928648565237628532e+01,4.658679410619870964e+01,2.699691546177573898e+00,6.812561785407941217e-01,1.214763271418027143e+05,7.666629415626338151e-01,1.620662912527331273e-02,1.099300018008972124e+01,6.197094677160901177e-02,1.310015257581704324e-03
5.284725000000000117e-01,1.607463713986138631e-01,4.903464123378830664e+01,4.628418975763892718e+01,2.750451476149377683e+00,6.866295154985370131e-01,1.215398364066256909e+05,7.723061446300472088e-01,1.620121765004782499e-02,1.106169794787832394e+01,6.285006129250431117e-02,1.318450629195075255e-03
5.352274999999999672e-01,1.598148538873857549e-01,4.868326121271856266e+01,4.588565756174154586e+01,2.797603650977019019e+00,6.916069847349629596e-01,1.215978442742232291e+05,7.775335982373408061e-01,1.619631944899983800e-02,1.113148382931569991e+01,6.370505169893163344e-02,1.327000363932820349e-03
5.419825000000000337e-01,1.588955245589827592e-01,4.841004075459382250e+01,4.556421913717719718e+01,2.845821617416628868e+00,6.966781670030716134e-01,1.216561475849219423e+05,7.828594714434805590e-01,1.619143986430881393e-02,1.120125594542297520e+01,6.457439759926089651e-02,1.335555758908494196e-03
5.487374999999999892e-01,1.579750698453257496e-01,4.810726817156316315e+01,4.521452201200445131e+01,2.892746159558711394e+00,7.015831045749381101e-01,1.217117898117725999e+05,7.880107506148235075e-01,1.618682440455475324e-02,1.127167398431708811e+01,6.543784412699678310e-02,1.344183301395172805e-03
5.554924999999999446e-01,1.570649420583134226e-01,4.787231391396466762e+01,4.493190347203260160e+01,2.940410441932067354e+00,7.065102563365802668e-01,1.217669563939478103e+05,7.931853596433611209e-01,1.618228898869299159e-02,1.134212733088494218e+01,6.630929819158928873e-02,1.352819001167877323e-03
5.622475000000000112e-01,1.561447901867802357e-01,4.753578427010764074e+01,4.455130960787529659e+01,2.984474662232347697e+00,7.110207892984311551e-01,1.218168309991728747e+05,7.979224259479986703e-01,1.617822398320181709e-02,1.141363881168277850e+01,6.715337837746832017e-02,1.361563933146287550e-03
5.690025000000000777e-01,1.552365007931186536e-01,4.727115117381772080e+01,4.424166793562358890e+01,3.029483238194130568e+00,7.156118765429521078e-01,1.218669918307201151e+05,8.027440922281505742e-01,1.617417002471581086e-02,1.148514738076644726e+01,6.801043525681622903e-02,1.370315090386282214e-03
5.757574999999999221e-01,1.543295573011672084e-01,4.698794189859605552e+01,4.391477656583564482e+01,3.073165332760407598e+00,7.200623526467460067e-01,1.219150445371956594e+05,8.074180854278867336e-01,1.617031925851458371e-02,1.155719703192385772e+01,6.886270282398455900e-02,1.379126761915339464e-03
5.825124999999999886e-01,1.534314428599126701e-01,4.675497040114554892e+01,4.363820864260064525e+01,3.116761758544904559e+00,7.244954737625050045e-01,1.219623599428554007e+05,8.120738520167691821e-01,1.616655941830475590e-02,1.162935896779058886e+01,6.971928023425157106e-02,1.387953674052287657e-03
5.892675000000000551e-01,1.525270766847298398e-01,4.643870588552780276e+01,4.328185583487327648e+01,3.156850050654526285e+00,7.285587251722794866e-01,1.220052536357290955e+05,8.163411728640632692e-01,1.616317863476976133e-02,1.170242621498701219e+01,7.055079585808697595e-02,1.396873212064878543e-03
5.960224999999998996e-01,1.516333518844631134e-01,4.618095443826901203e+01,4.298341993425479046e+01,3.197534504014222012e+00,7.326718263095014505e-01,1.220482192420037463e+05,8.206608470510146081e-01,1.615981894933175497e-02,1.177554558624427727e+01,7.139239835728147798e-02,1.405803915171454418e-03
6.027774999999999661e-01,1.507424363493906905e-01,4.591021174072081124e+01,4.267319154781538515e+01,3.237020192905428750e+00,7.366566093886981470e-01,1.220894152558904607e+05,8.248457586380495421e-01,1.615662312718970858e-02,1.184913942251602315e+01,7.222928926552826812e-02,1.414787423208406936e-03
6.095325000000000326e-01,1.498591315544421376e-01,4.567286955576199148e+01,4.239674129242044387e+01,3.276128263341548497e+00,7.405992828855232357e-01,1.221297665631597047e+05,8.289864457652602603e-01,1.615351734352714341e-02,1.192292032047387984e+01,7.306802536646575530e-02,1.423793622976444757e-03
6.162875000000000991e-01,1.489743848609341170e-01,4.538372334536668262e+01,4.207123012255792105e+01,3.312493222808759796e+00,7.442709728148219073e-01,1.221669836726236099e+05,8.328425396664165259e-01,1.615067456845306268e-02,1.199738446847027085e+01,7.388888279116323510e-02,1.432870252598565696e-03
6.230424999999999436e-01,1.480983207850082306e-01,4.513236642434236501e+01,4.178368639836352116e+01,3.348680025978842956e+00,7.479434491210836811e-01,1.222038655980474286e+05,8.366994594388934559e-01,1.614787826058732695e-02,1.207199746913278027e+01,7.471526489415734884e-02,1.441966990784820327e-03
6.297975000000000101e-01,1.472262179468575294e-01,4.487291050155803163e+01,4.148941183794089937e+01,3.383498663617130475e+00,7.515001641493220808e-01,1.222392622775460623e+05,8.404348040329727709e-01,1.614521432343347593e-02,1.214702402914419643e+01,7.553711825505460276e-02,1.451109542049080440e-03
6.365525000000000766e-01,1.463606659364041218e-01,4.463109340168126948e+01,4.121329207914260451e+01,3.417801322538667197e+00,7.549961952795005704e-01,1.222737497233698377e+05,8.441064169902001701e-01,1.614263764706941329e-02,1.222230677216369799e+01,7.635885106518459919e-02,1.460281830680746533e-03
6.433074999999999211e-01,1.454984117521469222e-01,4.437467996939776782e+01,4.092409196895170709e+01,3.450588000446057624e+00,7.583388082354795001e-01,1.223064443401133176e+05,8.476169066234950922e-01,1.614021227402957434e-02,1.229802620625138765e+01,7.717206793400865905e-02,1.469500606167126579e-03
6.500624999999999876e-01,1.446423923726798400e-01,4.413082313542945911e+01,4.064832522009346150e+01,3.482497915335995398e+00,7.616095898238549600e-01,1.223381752722312085e+05,8.510519572889407858e-01,1.613787471705913773e-02,1.237401756755513027e+01,7.798383240361236868e-02,1.478750276651278305e-03
6.568175000000000541e-01,1.437916320462102049e-01,4.388934320084831597e+01,4.037627877725516612e+01,3.513064423593153407e+00,7.647779549819061495e-01,1.223686693379654171e+05,8.543794478444766138e-01,1.613564359131602552e-02,1.245033251892642490e+01,7.879120698060793071e-02,1.488035365523124754e-03
6.635724999999998985e-01,1.429458550314794962e-01,4.364708449953627678e+01,4.010483972906672534e+01,3.542244770469552773e+00,7.678311743454776517e-01,1.223978312837871781e+05,8.575860096167036151e-01,1.613352411368559544e-02,1.252698283057919681e+01,7.959277835937940415e-02,1.497356526968311686e-03
6.703274999999999650e-01,1.421058020757636486e-01,4.341161805573459986e+01,3.984100878203009444e+01,3.570609273704504538e+00,7.707877443127493233e-01,1.224258630297449126e+05,8.606910679518762208e-01,1.613149997629407389e-02,1.260392151455046950e+01,8.038998226529929514e-02,1.506709021731668504e-03
6.770825000000000315e-01,1.412711963670977289e-01,4.318078558608394246e+01,3.958274158683698829e+01,3.598043999246955504e+00,7.736302241404925395e-01,1.224526230267758219e+05,8.636763061770478256e-01,1.612957985379188941e-02,1.268115455203272468e+01,8.118086341261318561e-02,1.516092556491986957e-03
